name,version,description,author,license,keywords,categories,downloads_last_month,github_stars,github_forks,github_watchers,vulnerabilities,has_vulnerabilities,package_size_kb,gzip_size_kb,release_frequency_days,releases_per_year,total_releases,has_tests,has_ci,ci_workflows_count,documentation_score,has_wiki,has_pages,last_commit_date,last_updated,github_open_issues,open_pull_requests,contributors_count,activity_score,repository,homepage,npm_url,created_date,modified_date,github_language,maintainers,dependencies,dev_dependencies
@azure/functions,4.9.0,Microsoft Azure Functions NodeJS Framework,Microsoft,MIT,"azure, azure-functions, serverless, typescript",Other,2098783,0,0,0,0,False,0.0,0.0,38.9,9.38,65,False,False,0,1.0,False,False,,,0,0,0,0,git+https://github.com/Azure/azure-functions-nodejs-library.git,https://github.com/Azure/azure-functions-nodejs-library,https://www.npmjs.com/package/@azure/functions,2019-01-10T23:43:29.119Z,2025-11-05T21:38:41.491Z,,11,4,38
rnjs-core,0.1.159,Rich NodeJS Framework.,Rich.Lee,,,Other,6873,0,0,0,0,False,0.0,0.0,2.8,130.89,526,False,False,0,0.0,False,False,,,0,0,0,0,,,https://www.npmjs.com/package/rnjs-core,2019-05-30T07:45:46.823Z,2023-06-02T14:41:11.743Z,,1,56,6
xpresser,0.32.8,Nodejs Framework for building scalable apps.,xpresserjs,ISC,"xpresser, xpresserjs, xjs, xjs-cli, framework, expressjs","Web Framework, Build Tool, CLI",3945,0,0,0,0,False,1909.99,443.57,4.6,79.19,426,False,False,0,1.0,False,False,,,0,0,0,0,git+https://github.com/xpresserjs/framework.git,https://xpresserjs.com,https://www.npmjs.com/package/xpresser,2019-05-20T02:20:30.769Z,2024-09-26T22:51:28.343Z,,1,20,5
lunox,1.7.1,Laravel-Flavoured NodeJs framework,Akhmad Salafudin,MIT,"laravel, nodejs, lunox, polka, svelte, mvc",Other,1344,0,0,0,0,False,0.0,0.0,6.4,57.15,76,False,False,0,1.0,False,False,,,0,0,0,0,git+https://github.com/kodepandai/lunox-framework.git,https://github.com/kodepandai/lunox-framework#readme,https://www.npmjs.com/package/lunox,2021-12-01T10:04:50.288Z,2023-03-26T09:09:10.597Z,,1,12,39
hastejs-cli,0.1.0,A nodejs Framework for develop API in record time.,SULTAN MAHAMUD,MIT,"hasteJs, framework, web, rest, api, restful, express, hastejs-cli","Web Framework, API Framework, CLI",6712,0,0,0,0,False,2569.08,626.24,5.2,69.89,10,False,False,0,1.0,False,False,,,0,0,0,0,git+https://github.com/sultanfendonus/HasteJS.git,https://github.com/sultanfendonus/HasteJS#readme,https://www.npmjs.com/package/hastejs-cli,2020-12-10T14:05:45.807Z,2022-05-04T18:30:39.713Z,,1,25,2
maglev,5.0.13,Preconfigured NodeJS framework,Zlatko Fedor,MIT,"framework, passport, express, MVC, mongoose, swig, rbac, mean","Web Framework, Authentication",1326,0,0,0,0,False,0.0,0.0,4.7,78.49,161,False,False,0,1.0,False,False,,,0,0,0,0,git://github.com/seeden/maglev.git,https://github.com/seeden/maglev#readme,https://www.npmjs.com/package/maglev,2014-03-11T19:01:27.776Z,2022-06-19T15:21:51.982Z,,1,51,23
@desco/atlas,3.8.3,NodeJS Framework,Rafael A. R. Dias,ISC,"NodeJS, Framework",Other,1981,0,0,0,0,False,0.0,0.0,13.9,26.34,79,False,False,0,0.5,False,False,,,0,0,0,0,git+https://github.com/desco-npm/atlas.git,https://github.com/desco-npm/atlas,https://www.npmjs.com/package/@desco/atlas,2018-11-20T15:20:02.823Z,2022-04-05T03:49:07.345Z,,1,39,4
dovejs,0.10.14,a nodejs framework,frank5380,ISC,"framework, nodejs, nest",Other,1514,0,0,0,0,False,0.0,0.0,7.7,47.65,189,False,False,0,0.5,False,False,,,0,0,0,0,git+https://github.com/frank5380/dovejs.git,https://github.com/frank5380/dovejs#readme,https://www.npmjs.com/package/dovejs,2021-06-28T07:31:27.738Z,2025-06-07T13:38:42.605Z,,1,44,31
@mongez/warlock,2.0.10,A comprehensive nodejs framework for building nodejs applications,hassanzohdy,MIT,"nodejs, framework, typescript, javascript, web, nestjs, fastify, express, mongodb","Web Framework, Build Tool, Database/ORM",2694,0,0,0,0,False,0.0,0.0,2.3,160.39,157,False,False,0,0.5,False,False,,,0,0,0,0,https://github.com/hassanzohdy/warlock,,https://www.npmjs.com/package/@mongez/warlock,2023-04-07T13:38:31.411Z,2024-03-27T16:08:05.099Z,,1,41,16
@warlock.js/core,3.0.21,A robust nodejs framework for building blazing fast applications,hassanzohdy,MIT,"nodejs, framework, typescript, javascript, web, nestjs, fastify, express, mongodb","Web Framework, Build Tool, Database/ORM",2927,0,0,0,0,False,0.0,0.0,6.6,55.71,88,False,False,0,0.5,False,False,,,0,0,0,0,https://github.com/hassanzohdy/warlock,,https://www.npmjs.com/package/@warlock.js/core,2024-04-13T12:02:55.407Z,2025-11-05T04:59:04.224Z,,1,38,17
