name,version,description,author,license,keywords,categories,downloads_last_month,github_stars,github_forks,github_watchers,vulnerabilities,has_vulnerabilities,package_size_kb,gzip_size_kb,release_frequency_days,releases_per_year,total_releases,has_tests,has_ci,ci_workflows_count,documentation_score,has_wiki,has_pages,last_commit_date,last_updated,github_open_issues,open_pull_requests,contributors_count,activity_score,repository,homepage,npm_url,created_date,modified_date,github_language,maintainers,dependencies,dev_dependencies
express,5.1.0,"Fast, unopinionated, minimalist web framework",TJ Holowaychuk,MIT,"express, framework, sinatra, web, http, rest, restful, router, app, api","Web Framework, API Framework",214472371,0,0,0,0,False,568.44,225.37,16.7,21.88,313,False,False,0,1.0,False,False,N/A,N/A,0,0,1,10,git+https://github.com/expressjs/express.git,https://expressjs.com/,https://www.npmjs.com/package/express,2010-12-29T19:38:25.450Z,2025-11-03T06:14:37.002Z,JavaScript,5,27,16
koa,3.1.1,Koa web app framework,Unknown,MIT,"web, app, http, application, framework, middleware, rack",Framework,21549285,0,0,0,0,False,0.0,0.0,36.1,10.1,122,False,False,0,1.0,False,False,N/A,N/A,0,0,1,10,git+https://github.com/koajs/koa.git,https://koajs.com,https://www.npmjs.com/package/koa,2013-11-06T20:11:50.797Z,2025-10-27T04:25:01.556Z,JavaScript,11,18,5
fastify,5.6.2,"Fast and low overhead web framework, for Node.js",Matteo Collina,MIT,"web, framework, json, schema, open, api","Web Framework, API Framework",13245516,0,0,0,0,False,0.0,0.0,11.0,33.21,303,False,False,0,1.0,False,False,N/A,N/A,0,0,1,10,git+https://github.com/fastify/fastify.git,https://fastify.dev/,https://www.npmjs.com/package/fastify,2016-10-07T22:35:23.353Z,2025-11-09T08:47:53.595Z,JavaScript,5,15,35
@hapi/hapi,21.4.4,HTTP Server framework,Unknown,BSD-3-Clause,"framework, http, api, web","Web Framework, API Framework",4331165,0,0,0,0,False,433.01,105.98,44.6,8.18,55,False,False,0,1.0,False,False,N/A,N/A,0,0,1,10,git://github.com/hapijs/hapi.git,https://hapi.dev,https://www.npmjs.com/package/@hapi/hapi,2019-04-02T23:03:15.810Z,2025-11-06T09:42:04.669Z,JavaScript,7,18,12
restify,11.1.0,REST framework,Mark Cavage,MIT,"REST, framework, express, DTrace","Web Framework, API Framework",1056379,0,0,0,0,False,850.38,256.13,24.0,15.24,186,False,False,0,1.0,False,False,N/A,N/A,0,0,1,10,git://github.com/restify/node-restify.git,http://restify.com,https://www.npmjs.com/package/restify,2011-04-25T21:22:28.794Z,2025-10-13T17:09:04.409Z,JavaScript,15,22,24
@nestjs/core,11.1.8,"Nest - modern, fast, powerful node.js web framework (@core)",Kamil Mysliwiec,MIT,N/A,Web Framework,23454561,0,0,0,0,False,189.0,49.29,7.2,50.72,430,False,False,0,1.0,False,False,N/A,N/A,0,0,1,10,git+https://github.com/nestjs/nest.git,https://nestjs.com,https://www.npmjs.com/package/@nestjs/core,2017-05-14T13:40:50.632Z,2025-10-27T09:00:58.407Z,JavaScript,1,6,1
loopback,3.28.0,LoopBack: Open Source Framework for Node.js,IBM Corp.,MIT,"web, restful, rest, api, express, restify, koa, auth, security, oracle","Web Framework, API Framework, Database/ORM, Authentication",101975,0,0,0,0,False,1621.98,463.13,14.3,25.54,185,False,False,0,1.0,False,False,N/A,N/A,0,0,1,10,git+https://github.com/strongloop/loopback.git,http://loopback.io,https://www.npmjs.com/package/loopback,2013-09-13T01:45:33.503Z,2024-07-09T12:42:26.863Z,JavaScript,4,24,36
sails,1.5.15,"API-driven framework for building realtime apps, using MVC conventions (based on Express and Socket.io)",Mike McNeil,MIT,"mvc, web-framework, express, sailsjs, sails.js, REST, API, orm, socket.io","Web Framework, API Framework, Real-time, Build Tool, Database/ORM",109547,0,0,0,0,False,0.0,0.0,19.2,19.03,240,False,False,0,1.0,False,False,N/A,N/A,0,0,1,10,git://github.com/balderdashy/sails.git,https://sailsjs.com,https://www.npmjs.com/package/sails,2013-01-16T05:40:10.808Z,2025-08-06T19:26:39.360Z,JavaScript,4,44,19
meteor,3.3.2,Install Meteor,zodern,MIT,N/A,Framework,9010,0,0,0,0,False,311.43,91.34,36.7,9.93,128,False,False,0,1.0,False,False,N/A,N/A,0,0,1,10,N/A,N/A,https://www.npmjs.com/package/meteor,2012-11-30T01:32:00.388Z,2025-09-09T13:17:16.624Z,JavaScript,7,9,0
@adonisjs/core,6.19.1,Core of AdonisJS,Harminder Virk,MIT,"adonisjs, framework, mvc",Framework,204587,0,0,0,0,False,0.0,0.0,10.4,35.2,240,False,False,0,1.0,False,False,N/A,N/A,0,0,1,10,git+https://github.com/adonisjs/core.git,https://github.com/adonisjs/core#readme,https://www.npmjs.com/package/@adonisjs/core,2019-01-26T09:55:48.986Z,2025-11-08T13:28:26.076Z,JavaScript,3,28,35
